Country,2012,2013,2014,2015,2016,2017,2018
Latvia,49.0,53.0,55.0,49.0,57.0,58.0,58.0
Lebanon,30.0,28.0,27.0,30.0,28.0,28.0,28.0
Lesotho,45.0,49.0,49.0,45.0,39.0,42.0,41.0
Liberia,41.0,38.0,37.0,41.0,37.0,31.0,32.0
Libya,21.0,15.0,18.0,21.0,14.0,17.0,17.0
Lithuania,54.0,57.0,58.0,54.0,59.0,59.0,59.0
Luxembourg,80.0,80.0,82.0,80.0,81.0,82.0,81.0
Macedonia,43.0,44.0,,43.0,,35.0,37.0
Madagascar,32.0,28.0,28.0,32.0,26.0,24.0,25.0
Malawi,37.0,37.0,33.0,37.0,31.0,31.0,32.0
Malaysia,49.0,50.0,52.0,49.0,49.0,47.0,47.0
Maldives,,,,,36.0,33.0,31.0
Mali,34.0,28.0,32.0,34.0,32.0,31.0,32.0
Malta,57.0,56.0,55.0,57.0,55.0,56.0,54.0
Mauritania,31.0,30.0,30.0,31.0,27.0,28.0,27.0
Mauritius,57.0,52.0,54.0,57.0,54.0,50.0,51.0
Mexico,34.0,34.0,35.0,34.0,30.0,29.0,28.0
Moldova,36.0,35.0,35.0,36.0,30.0,31.0,33.0
Mongolia,36.0,38.0,39.0,36.0,38.0,36.0,37.0
Montenegro,41.0,44.0,42.0,41.0,45.0,46.0,45.0
Morocco,37.0,37.0,39.0,37.0,37.0,40.0,43.0
Mozambique,31.0,30.0,31.0,31.0,27.0,25.0,23.0
Myanmar,15.0,21.0,21.0,15.0,28.0,30.0,29.0
Namibia,48.0,48.0,49.0,48.0,52.0,51.0,53.0
Nepal,27.0,31.0,29.0,27.0,29.0,31.0,31.0
Netherlands,84.0,83.0,83.0,84.0,83.0,82.0,82.0
New Zealand,90.0,91.0,91.0,90.0,90.0,89.0,87.0
Nicaragua,29.0,28.0,28.0,29.0,26.0,26.0,25.0
Niger,33.0,34.0,35.0,33.0,35.0,33.0,34.0
Nigeria,27.0,25.0,27.0,27.0,28.0,27.0,27.0
Norway,85.0,86.0,86.0,85.0,85.0,85.0,84.0
Oman,47.0,47.0,45.0,47.0,45.0,44.0,52.0
Pakistan,27.0,28.0,29.0,27.0,32.0,32.0,33.0
Panama,38.0,35.0,37.0,38.0,38.0,37.0,37.0
Papua New Guinea,25.0,25.0,25.0,25.0,28.0,29.0,28.0
Paraguay,25.0,24.0,24.0,25.0,30.0,29.0,29.0
Peru,38.0,38.0,38.0,38.0,35.0,37.0,35.0
Philippines,34.0,36.0,38.0,34.0,35.0,34.0,36.0
Poland,58.0,60.0,61.0,58.0,62.0,60.0,60.0
Portugal,63.0,62.0,63.0,63.0,62.0,63.0,64.0
Puerto Rico,63.0,62.0,63.0,63.0,,,
Qatar,68.0,68.0,69.0,68.0,61.0,63.0,62.0
Republic of Congo,,,,,20.0,,
